股票代码,公司名称,报表,项目,报告期,金额
688596,正帆科技,cashflow_yearly,其他经营性流入,2013-12-31 00:00:00,11767762.77
688596,正帆科技,cashflow_yearly,经营活动现金流入总额,2013-12-31 00:00:00,366812934.66
688596,正帆科技,cashflow_yearly,采购支出,2013-12-31 00:00:00,188911594.48
688596,正帆科技,cashflow_yearly,人工支出,2013-12-31 00:00:00,73526049.06
688596,正帆科技,cashflow_yearly,税费支出,2013-12-31 00:00:00,19920780.87
688596,正帆科技,cashflow_yearly,其他经营性流出,2013-12-31 00:00:00,29648019.44
688596,正帆科技,cashflow_yearly,经营活动现金流出总额,2013-12-31 00:00:00,312006443.85
688596,正帆科技,cashflow_yearly,经营活动现金流量净额,2013-12-31 00:00:00,54806490.81
688596,正帆科技,cashflow_yearly,固定资产支出,2013-12-31 00:00:00,58939716.58
688596,正帆科技,cashflow_yearly,投资活动现金流出总额,2013-12-31 00:00:00,59113371.99
688596,正帆科技,cashflow_yearly,吸收投资流入,2013-12-31 00:00:00,14500000.0
688596,正帆科技,cashflow_yearly,投资活动现金流量净额,2013-12-31 00:00:00,-53971209.32
688596,正帆科技,cashflow_yearly,借款流入,2013-12-31 00:00:00,5000000.0
688596,正帆科技,cashflow_yearly,筹资活动现金流入总额,2013-12-31 00:00:00,19500000.0
688596,正帆科技,cashflow_yearly,分红支出,2013-12-31 00:00:00,121438.89
688596,正帆科技,cashflow_yearly,筹资活动现金流出总额,2013-12-31 00:00:00,80121438.89
688596,正帆科技,cashflow_yearly,筹资活动现金流量净额,2013-12-31 00:00:00,-60621438.89
688596,正帆科技,cashflow_yearly,现金增加,2013-12-31 00:00:00,-59823662.85
688596,正帆科技,cashflow_yearly,期末现金,2013-12-31 00:00:00,48467419.79
688596,正帆科技,cashflow_yearly,存货余额减少,2013-12-31 00:00:00,-94491157.68
688596,正帆科技,cashflow_yearly,应收余额减少,2013-12-31 00:00:00,30157150.18
688596,正帆科技,cashflow_yearly,应付余额增加,2013-12-31 00:00:00,118394355.76
688596,正帆科技,cashflow_yearly,销售收款,2014-12-31 00:00:00,410771419.06
688596,正帆科技,cashflow_yearly,其他经营性流入,2014-12-31 00:00:00,3509561.78
688596,正帆科技,cashflow_yearly,经营活动现金流入总额,2014-12-31 00:00:00,414280980.84
688596,正帆科技,cashflow_yearly,采购支出,2014-12-31 00:00:00,241601055.19
688596,正帆科技,cashflow_yearly,人工支出,2014-12-31 00:00:00,86894065.51
688596,正帆科技,cashflow_yearly,税费支出,2014-12-31 00:00:00,16336144.24
688596,正帆科技,cashflow_yearly,其他经营性流出,2014-12-31 00:00:00,22418051.53
688596,正帆科技,cashflow_yearly,经营活动现金流出总额,2014-12-31 00:00:00,367249316.47
688596,正帆科技,cashflow_yearly,经营活动现金流量净额,2014-12-31 00:00:00,47031664.37
688596,正帆科技,cashflow_yearly,固定资产支出,2014-12-31 00:00:00,30566631.03
688596,正帆科技,cashflow_yearly,投资活动现金流出总额,2014-12-31 00:00:00,30848171.78
688596,正帆科技,cashflow_yearly,吸收投资流入,2014-12-31 00:00:00,1500000.0
